T_delta_mean,x_std,z_std,y_mean,y_std,theta_avg_dc,theta_std_dc,outlet_area,flowrate,v_wind,theta_wind,dch,dcw,dcd,rcp,T_wind
0,238.170859868637,26.7488317501905,0,0,0,0,1879.2,18699822,15,270,15.3,12,40,7.125,105
0,238.170859868637,26.7488317501905,0,0,0,0,1879.2,18699822,25,315,15.3,12,40,7.125,105
0,238.170859868637,26.7488317501905,0,0,0,0,1879.2,18699822,25,90,15.3,12,40,7.125,105
1,237.167244548636,45.7568429772562,0,0,90,0,1879.2,18699822,25,315,15.3,12,40,7.125,105
0,238.170859868637,26.7488317501905,0,0,0,0,1879.2,19672902,25,315,15.3,12,40,7.43,105
1,237.167244548636,45.7568429772562,0,0,90,0,1879.2,18699822,25,270,15.3,12,40,7.125,105
0,238.208882492054,26.7488317501905,0,0,0,0,3240,17358948,5,135,9,7,43,10.6,105
0,238.170859868637,26.7488317501905,10,0,0,0,1879.2,18699822,25,315,15.3,12,40,7.125,105
0,238.208882492054,26.7488317501905,0,0,0,0,3240,17358948,25,270,9,7,43,10.6,105
1,238.208882492054,26.7488317501905,0,0,0,0,3240,17358948,15,45,9,7,43,10.6,105
0,277.939216819041,26.7488317501905,0,0,0,0,1879.2,18699822,15,135,15.3,12,40,7.125,105
1,238.170859868637,26.7488317501905,0,0,0,0,1879.2,18699822,5,135,15.3,12,40,7.125,105
